"regiao";"sexo";"idade_quinquenal";"raca_cor";"educ_mae";"ocup_mae";"educ_pai";"ocup_pai";"educ";"pessoas";"classesocial";"rendafa";"rendarange";"ocup";"freq_esc";"peso";"peso_pond";"se_trab";"empregados";"estuda_atualmente"
"200";3;1;2;2;99;9998;9;8332;2;3;3;14;1;NA;1;17077;1,09366285800934;2;0;3
"201";3;2;2;2;99;9998;99;7112;1;4;4;14;1;7534;1;18350;1,17518973350525;1;1;3
"202";3;1;2;3;2;5212;99;5414;1;3;2;14;1;NA;1;16151,619140625;1,0343986749649;2;0;3
"203";3;2;3;3;9;9994;1;7112;2;3;3;540;1;5212;1;12752,6669921875;0,816719472408295;2;1;2
"204";3;1;2;2;1;9211;9;9211;1;4;3;14;2;NA;1;15716,8330078125;1,00655364990234;1;0;3
"205";3;1;1;5;1;9211;1;9211;1;4;3;13;13;NA;1;16821,333984375;1,07728922367096;2;0;1
"206";3;1;1;3;2;8156;1;7112;1;4;4;14;1;NA;1;14752,8330078125;0,9448162317276;4;0;1
"207";3;2;2;2;1;9111;99;9998;2;2;3;14;2;NA;1;17137,599609375;1,09754395484924;4;0;2
"208";3;2;1;10;2;1345;2;3257;2;3;4;800;2;NA;1;12983,142578125;0,831479847431183;4;0;2
"209";3;2;1;3;1;9211;9;9211;1;3;3;150;1;NA;1;13465;0,862339437007904;2;0;3
"210";3;1;3;5;9;9111;2;3134;2;5;3;14;1;7112;1;13717,8330078125;0,878531694412231;2;1;3
"211";3;1;1;2;2;5141;99;7127;2;6;4;1000;2;NA;1;11396,345703125;0,729856610298157;4;0;1
"212";3;1;3;3;1;9112;1;9995;2;3;3;2200;4;4321;1;16622,23046875;1,06453812122345;1;1;2
"213";3;2;2;3;2;7321;2;8322;2;3;3;1800;3;4226;1;19092,576171875;1,22274661064148;1;1;2
"214";3;2;3;3;2;7533;9;412;2;4;3;134;1;NA;1;18701,26953125;1,19768607616425;2;0;1
"215";3;1;2;1;2;5120;99;9998;2;5;2;2500;4;7127;1;17365,576171875;1,11214423179626;1;1;3
"216";3;1;2;2;99;9994;1;6225;1;6;2;1800;3;NA;1;16151,51953125;1,03439235687256;2;0;1
"217";3;2;1;1;1;9111;99;9998;1;4;5;1300;2;NA;1;11720,5771484375;0,750621318817139;4;0;1
"218";3;2;2;1;99;9622;99;7112;1;5;2;2000;3;NA;1;16671;1,06766140460968;2;0;3
"219";3;1;2;7;1;9111;1;5212;1;3;3;2000;3;5153;1;17365,576171875;1,11214423179626;1;1;3
"220";3;2;2;7;1;9994;1;9621;1;5;2;300;1;NA;1;16671;1,06766140460968;3;0;3
"221";3;2;1;3;1;9412;99;5223;1;10;3;2000;3;NA;1;11720,5771484375;0,750621318817139;4;0;1
"222";3;1;3;1;1;7533;99;9998;2;4;4;1500;3;8321;1;16622,23046875;1,06453812122345;1;1;3
"223";3;1;1;5;99;5142;2;4321;1;7;4;3000;5;9520;1;11396,345703125;0,729856610298157;1;1;1
"224";3;2;2;3;9;9994;99;2269;2;2;2;650;1;NA;1;19092,576171875;1,22274661064148;2;0;2
